日期,股票代码,名称,涨跌幅
2020-04-14,'000016,上证50,1.6995
2020-04-13,'000016,上证50,-0.3884
2020-04-10,'000016,上证50,-0.0996
2020-04-09,'000016,上证50,0.3171
2020-04-08,'000016,上证50,-0.4903
2020-04-07,'000016,上证50,1.7935
2020-04-03,'000016,上证50,-0.4067
2020-04-02,'000016,上证50,1.4096
2020-04-01,'000016,上证50,-0.2714
2020-03-31,'000016,上证50,-0.0246
2020-03-30,'000016,上证50,-0.4221
2020-03-27,'000016,上证50,0.4523
2020-03-26,'000016,上证50,-0.4039
2020-03-25,'000016,上证50,2.3037
2020-03-24,'000016,上证50,3.1163
2020-03-23,'000016,上证50,-2.6174
2020-03-20,'000016,上证50,2.2814
2020-03-19,'000016,上证50,-2.1311
2020-03-18,'000016,上证50,-2.2283
2020-03-17,'000016,上证50,-0.313
2020-03-16,'000016,上证50,-3.7426
2020-03-13,'000016,上证50,-1.5205
2020-03-12,'000016,上证50,-1.6057
2020-03-11,'000016,上证50,-1.2262
2020-03-10,'000016,上证50,1.9306
2020-03-09,'000016,上证50,-3.2381
2020-03-06,'000016,上证50,-1.7639
2020-03-05,'000016,上证50,2.3919
2020-03-04,'000016,上证50,0.8942
2020-03-03,'000016,上证50,0.4662
2020-03-02,'000016,上证50,3.0785
2020-02-28,'000016,上证50,-3.1248
2020-02-27,'000016,上证50,0.3571
2020-02-26,'000016,上证50,-0.263
2020-02-25,'000016,上证50,-0.7068
2020-02-24,'000016,上证50,-1.2838
2020-02-21,'000016,上证50,-0.3373
2020-02-20,'000016,上证50,1.8613
2020-02-19,'000016,上证50,-0.0217
2020-02-18,'000016,上证50,-0.8702
2020-02-17,'000016,上证50,1.9
2020-02-14,'000016,上证50,0.6811
2020-02-13,'000016,上证50,-0.6944
2020-02-12,'000016,上证50,0.5462
2020-02-11,'000016,上证50,1.0454
2020-02-10,'000016,上证50,-0.0577
2020-02-07,'000016,上证50,-0.1113
2020-02-06,'000016,上证50,1.4927
2020-02-05,'000016,上证50,0.6526
2020-02-04,'000016,上证50,2.4776
2020-02-03,'000016,上证50,-7.0043
2020-01-23,'000016,上证50,-2.8293
2020-01-22,'000016,上证50,0.1914
2020-01-21,'000016,上证50,-1.7573
2020-01-20,'000016,上证50,0.4198
2020-01-17,'000016,上证50,0.3312
2020-01-16,'000016,上证50,-0.4877
2020-01-15,'000016,上证50,-0.7334
2020-01-14,'000016,上证50,-0.3083
2020-01-13,'000016,上证50,0.7252
2020-01-10,'000016,上证50,0.0109
2020-01-09,'000016,上证50,0.9774
2020-01-08,'000016,上证50,-1.1764
2020-01-07,'000016,上证50,0.562
2020-01-06,'000016,上证50,-0.6966
2020-01-03,'000016,上证50,-0.4062
2020-01-02,'000016,上证50,0.9015
2019-12-31,'000016,上证50,0.0153
2019-12-30,'000016,上证50,1.4902
2019-12-27,'000016,上证50,0.204
2019-12-26,'000016,上证50,0.8584
2019-12-25,'000016,上证50,-0.3591
2019-12-24,'000016,上证50,0.4196
2019-12-23,'000016,上证50,-0.9421
2019-12-20,'000016,上证50,-0.1686
2019-12-19,'000016,上证50,-0.2668
2019-12-18,'000016,上证50,-0.2426
2019-12-17,'000016,上证50,1.1317
2019-12-16,'000016,上证50,-0.2365
2019-12-13,'000016,上证50,2.3236
2019-12-12,'000016,上证50,-0.3933
2019-12-11,'000016,上证50,0.4308
2019-12-10,'000016,上证50,0.1347
2019-12-09,'000016,上证50,-0.2305
2019-12-06,'000016,上证50,0.6116
2019-12-05,'000016,上证50,0.7198
2019-12-04,'000016,上证50,-0.2941
2019-12-03,'000016,上证50,0.3512
2019-12-02,'000016,上证50,0.1632
2019-11-29,'000016,上证50,-1.2205
2019-11-28,'000016,上证50,-0.4701
2019-11-27,'000016,上证50,-0.0762
2019-11-26,'000016,上证50,-0.1586
2019-11-25,'000016,上证50,0.9917
2019-11-22,'000016,上证50,-0.9178
2019-11-21,'000016,上证50,-0.633
2019-11-20,'000016,上证50,-1.0871
2019-11-19,'000016,上证50,0.6642
2019-11-18,'000016,上证50,0.8882
2019-11-15,'000016,上证50,-0.4671
2019-11-14,'000016,上证50,0.0303
2019-11-13,'000016,上证50,-0.1242
2019-11-12,'000016,上证50,0.1906
2019-11-11,'000016,上证50,-1.552
2019-11-08,'000016,上证50,-0.687
2019-11-07,'000016,上证50,0.0167
2019-11-06,'000016,上证50,-0.2364
2019-11-05,'000016,上证50,0.5857
2019-11-04,'000016,上证50,0.6536
2019-11-01,'000016,上证50,1.6216
2019-10-31,'000016,上证50,0.0886
2019-10-30,'000016,上证50,-0.5446
2019-10-29,'000016,上证50,-0.4387
2019-10-28,'000016,上证50,0.4823
2019-10-25,'000016,上证50,0.271
2019-10-24,'000016,上证50,0.16
2019-10-23,'000016,上证50,-0.6361
2019-10-22,'000016,上证50,0.1452
2019-10-21,'000016,上证50,0.1934
2019-10-18,'000016,上证50,-1.613
2019-10-17,'000016,上证50,0.234
2019-10-16,'000016,上证50,-0.3547
2019-10-15,'000016,上证50,0.0626
2019-10-14,'000016,上证50,1.0195
2019-10-11,'000016,上证50,1.4391
2019-10-10,'000016,上证50,0.6097
2019-10-09,'000016,上证50,0.0216
2019-10-08,'000016,上证50,0.8505
2019-09-30,'000016,上证50,-1.0843
2019-09-27,'000016,上证50,0.0543
2019-09-26,'000016,上证50,-0.0327
2019-09-25,'000016,上证50,-0.3825
2019-09-24,'000016,上证50,0.3128
2019-09-23,'000016,上证50,-1.0974
2019-09-20,'000016,上证50,0.2234
2019-09-19,'000016,上证50,0.0837
2019-09-18,'000016,上证50,0.5907
2019-09-17,'000016,上证50,-1.5236
2019-09-16,'000016,上证50,-0.5705
2019-09-12,'000016,上证50,1.4344
2019-09-11,'000016,上证50,-0.4263
2019-09-10,'000016,上证50,-0.3951
2019-09-09,'000016,上证50,0.0172
2019-09-06,'000016,上证50,0.8537
2019-09-05,'000016,上证50,1.2386
2019-09-04,'000016,上证50,0.9507
2019-09-03,'000016,上证50,-0.0959
2019-09-02,'000016,上证50,0.7853
2019-08-30,'000016,上证50,0.5936
2019-08-29,'000016,上证50,-0.4038
2019-08-28,'000016,上证50,-0.7
2019-08-27,'000016,上证50,0.8297
2019-08-26,'000016,上证50,-1.8475
2019-08-23,'000016,上证50,1.3681
2019-08-22,'000016,上证50,0.3062
2019-08-21,'000016,上证50,-0.2237
2019-08-20,'000016,上证50,-0.0549
2019-08-19,'000016,上证50,1.8768
2019-08-16,'000016,上证50,0.3496
2019-08-15,'000016,上证50,0.3578
2019-08-14,'000016,上证50,0.4097
2019-08-13,'000016,上证50,-1.1289
2019-08-12,'000016,上证50,1.8994
2019-08-09,'000016,上证50,-0.5283
2019-08-08,'000016,上证50,1.4423
2019-08-07,'000016,上证50,-0.4865
2019-08-06,'000016,上证50,-0.9344
2019-08-05,'000016,上证50,-2.0062
2019-08-02,'000016,上证50,-1.5269
2019-08-01,'000016,上证50,-0.8513
2019-07-31,'000016,上证50,-1.0653
2019-07-30,'000016,上证50,0.4619
2019-07-29,'000016,上证50,-0.3016
2019-07-26,'000016,上证50,0.279
2019-07-25,'000016,上证50,0.8472
2019-07-24,'000016,上证50,0.8834
2019-07-23,'000016,上证50,-0.028
2019-07-22,'000016,上证50,-0.4739
2019-07-19,'000016,上证50,1.2752
2019-07-18,'000016,上证50,-0.5518
2019-07-17,'000016,上证50,-0.3304
2019-07-16,'000016,上证50,-0.6218
2019-07-15,'000016,上证50,0.0166
2019-07-12,'000016,上证50,0.4951
2019-07-11,'000016,上证50,0.3144
2019-07-10,'000016,上证50,-0.0961
2019-07-09,'000016,上证50,-0.5508
2019-07-08,'000016,上证50,-2.1746
2019-07-05,'000016,上证50,0.2929
2019-07-04,'000016,上证50,-0.3865
2019-07-03,'000016,上证50,-1.1452
2019-07-02,'000016,上证50,-0.1287
2019-07-01,'000016,上证50,2.4685
2019-06-28,'000016,上证50,-0.2223
2019-06-27,'000016,上证50,1.1587
2019-06-26,'000016,上证50,-0.228
2019-06-25,'000016,上证50,-1.3357
2019-06-24,'000016,上证50,0.3656
2019-06-21,'000016,上证50,-0.131
2019-06-20,'000016,上证50,3.514
2019-06-19,'000016,上证50,1.2928
2019-06-18,'000016,上证50,0.4564
2019-06-17,'000016,上证50,0.2907
2019-06-14,'000016,上证50,-0.3196
2019-06-13,'000016,上证50,-0.0785
2019-06-12,'000016,上证50,-0.5747
2019-06-11,'000016,上证50,2.5343
2019-06-10,'000016,上证50,1.3526
2019-06-06,'000016,上证50,-0.4719
2019-06-05,'000016,上证50,-0.0632
2019-06-04,'000016,上证50,-0.7929
2019-06-03,'000016,上证50,0.5174
2019-05-31,'000016,上证50,-0.511
2019-05-30,'000016,上证50,-0.4661
2019-05-29,'000016,上证50,0.255
2019-05-28,'000016,上证50,0.9721
2019-05-27,'000016,上证50,0.7516
2019-05-24,'000016,上证50,0.5991
2019-05-23,'000016,上证50,-1.4602
2019-05-22,'000016,上证50,-0.5128
2019-05-21,'000016,上证50,0.8969
2019-05-20,'000016,上证50,-0.7232
2019-05-17,'000016,上证50,-2.0134
2019-05-16,'000016,上证50,0.2828
2019-05-15,'000016,上证50,2.1584
2019-05-14,'000016,上证50,-0.5975
2019-05-13,'000016,上证50,-1.8845
2019-05-10,'000016,上证50,3.5193
2019-05-09,'000016,上证50,-2.1558
2019-05-08,'000016,上证50,-1.711
2019-05-07,'000016,上证50,0.0436
2019-05-06,'000016,上证50,-4.7605
2019-04-30,'000016,上证50,0.1986
2019-04-29,'000016,上证50,1.6091
2019-04-26,'000016,上证50,-1.2001
2019-04-25,'000016,上证50,-1.5749
2019-04-24,'000016,上证50,-0.1342
2019-04-23,'000016,上证50,0.2813
2019-04-22,'000016,上证50,-2.3647
2019-04-19,'000016,上证50,1.2482
2019-04-18,'000016,上证50,-0.414
2019-04-17,'000016,上证50,-0.1855
2019-04-16,'000016,上证50,3.3539
2019-04-15,'000016,上证50,0.151
2019-04-12,'000016,上证50,-0.2702
2019-04-11,'000016,上证50,-1.7009
2019-04-10,'000016,上证50,0.3904
2019-04-09,'000016,上证50,0.1768
2019-04-08,'000016,上证50,0.3486
2019-04-04,'000016,上证50,1.0953
2019-04-03,'000016,上证50,1.0895
2019-04-02,'000016,上证50,-0.1413
2019-04-01,'000016,上证50,1.9064
2019-03-29,'000016,上证50,3.8234
2019-03-28,'000016,上证50,-0.2778
2019-03-27,'000016,上证50,1.3095
2019-03-26,'000016,上证50,-0.4425
2019-03-25,'000016,上证50,-2.7621
2019-03-22,'000016,上证50,-0.2702
2019-03-21,'000016,上证50,-0.3538
2019-03-20,'000016,上证50,0.2145
2019-03-19,'000016,上证50,-0.6473
2019-03-18,'000016,上证50,2.5175
2019-03-15,'000016,上证50,0.9773
2019-03-14,'000016,上证50,0.1898
2019-03-13,'000016,上证50,0.154
2019-03-12,'000016,上证50,0.4126
2019-03-11,'000016,上证50,0.8567
2019-03-08,'000016,上证50,-3.7319
