日期,股票代码,股票简称,回报率(不考虑分红)
20100104,600016    ,民生银行,0.0025
20100104,600309    ,烟台万华,-0.0167
20100104,600340    ,*ST国祥,0.0122
20100104,600690    ,青岛海尔,-0.0294
20100104,600703    ,三安光电,0.1001
20100104,600887    ,*ST伊利,0.0049
20100104,601166    ,兴业银行,-0.0340
20100104,601186    ,中国铁建,-0.0088
20100104,601328    ,交通银行,-0.0203
20100105,600016    ,民生银行,0.0177
20100105,600309    ,烟台万华,-0.0195
20100105,600340    ,*ST国祥,-0.0092
20100105,600690    ,青岛海尔,-0.0445
20100105,600703    ,三安光电,-0.0041
20100105,600887    ,*ST伊利,0.0462
20100105,601166    ,兴业银行,-0.0193
20100105,601186    ,中国铁建,0.0011
20100105,601328    ,交通银行,0.0251
20100106,600016    ,民生银行,-0.0198
20100106,600309    ,烟台万华,0.0350
20100106,600340    ,*ST国祥,-0.0165
20100106,600690    ,青岛海尔,-0.0231
20100106,600703    ,三安光电,0.0363
20100106,600887    ,*ST伊利,-0.0151
20100106,601166    ,兴业银行,-0.0105
20100106,601186    ,中国铁建,-0.0022
20100106,601328    ,交通银行,-0.0138
20100107,600016    ,民生银行,-0.0265
20100107,600309    ,烟台万华,-0.0338
20100107,600340    ,*ST国祥,-0.0168
20100107,600690    ,青岛海尔,-0.0303
20100107,600703    ,三安光电,0.0518
20100107,600887    ,*ST伊利,-0.0332
20100107,601166    ,兴业银行,0.0048
20100107,601186    ,中国铁建,-0.0111
20100107,601328    ,交通银行,-0.0346
20100108,600016    ,民生银行,0.0104
20100108,600309    ,烟台万华,-0.0255
20100108,600340    ,*ST国祥,0.0059
20100108,600690    ,青岛海尔,0.0055
20100108,600703    ,三安光电,0.0000
20100108,600887    ,*ST伊利,0.0068
20100108,601166    ,兴业银行,0.0003
20100108,601186    ,中国铁建,0.0067
20100108,601328    ,交通银行,0.0056
20100111,600016    ,民生银行,0.0116
20100111,600309    ,烟台万华,-0.0075
20100111,600340    ,*ST国祥,-0.0015
20100111,600690    ,青岛海尔,-0.0475
20100111,600703    ,三安光电,0.0000
20100111,600887    ,*ST伊利,0.0498
20100111,601166    ,兴业银行,-0.0197
20100111,601186    ,中国铁建,0.0044
20100111,601328    ,交通银行,0.0011
20100112,600016    ,民生银行,0.0051
20100112,600309    ,烟台万华,0.0286
20100112,600340    ,*ST国祥,0.0066
20100112,600690    ,青岛海尔,0.0288
20100112,600703    ,三安光电,0.1000
20100112,600887    ,*ST伊利,0.0360
20100112,601166    ,兴业银行,-0.0102
20100112,601186    ,中国铁建,0.0111
20100112,601328    ,交通银行,0.0122
20100113,600016    ,民生银行,-0.0442
20100113,600309    ,烟台万华,0.0182
20100113,600340    ,*ST国祥,-0.0440
20100113,600690    ,青岛海尔,-0.0103
20100113,600703    ,三安光电,0.0320
20100113,600887    ,*ST伊利,0.0303
20100113,601166    ,兴业银行,-0.0651
20100113,601186    ,中国铁建,-0.0273
20100113,601328    ,交通银行,-0.0560
20100114,600016    ,民生银行,0.0013
20100114,600309    ,烟台万华,0.0499
20100114,600340    ,*ST国祥,0.0015
20100114,600690    ,青岛海尔,0.0565
20100114,600703    ,三安光电,-0.0140
20100114,600887    ,*ST伊利,0.0321
20100114,601166    ,兴业银行,0.0000
20100114,601186    ,中国铁建,0.0067
20100114,601328    ,交通银行,0.0093
20100115,600016    ,民生银行,0.0000
20100115,600309    ,烟台万华,0.0280
20100115,600340    ,*ST国祥,0.0360
20100115,600690    ,青岛海尔,-0.0027
20100115,600703    ,三安光电,0.0108
20100115,600887    ,*ST伊利,-0.0168
20100115,601166    ,兴业银行,0.0041
20100115,601186    ,中国铁建,0.0011
20100115,601328    ,交通银行,0.0069
20100118,600016    ,民生银行,0.0026
20100118,600309    ,烟台万华,0.0158
20100118,600340    ,*ST国祥,0.0503
20100118,600690    ,青岛海尔,-0.0130
20100118,600703    ,三安光电,0.0000
20100118,600887    ,*ST伊利,0.0501
20100118,601166    ,兴业银行,-0.0020
20100118,601186    ,中国铁建,-0.0033
20100118,601328    ,交通银行,0.0011
20100119,600016    ,民生银行,0.0158
20100119,600309    ,烟台万华,-0.0323
20100119,600340    ,*ST国祥,0.0500
20100119,600690    ,青岛海尔,0.0054
20100119,600703    ,三安光电,0.0000
20100119,600887    ,*ST伊利,-0.0003
20100119,601166    ,兴业银行,0.0113
20100119,601186    ,中国铁建,-0.0011
20100119,601328    ,交通银行,0.0114
20100120,600016    ,民生银行,-0.0272
20100120,600309    ,烟台万华,-0.0322
20100120,600340    ,*ST国祥,-0.0255
20100120,600690    ,青岛海尔,-0.0180
20100120,600703    ,三安光电,-0.0323
