con_date,stock_code,stock_name,report_num_m
2010-01-04,600016,民生银行,2
2010-01-05,600016,民生银行,2
2010-01-06,600016,民生银行,2
2010-01-07,600016,民生银行,2
2010-01-08,600016,民生银行,3
2010-01-11,600016,民生银行,3
2010-01-12,600016,民生银行,3
2010-01-13,600016,民生银行,3
2010-01-14,600016,民生银行,3
2010-01-15,600016,民生银行,3
2010-01-18,600016,民生银行,4
2010-01-19,600016,民生银行,6
2010-01-20,600016,民生银行,6
2010-01-21,600016,民生银行,6
2010-01-22,600016,民生银行,6
2010-01-25,600016,民生银行,6
2010-01-26,600016,民生银行,6
2010-01-27,600016,民生银行,6
2010-01-28,600016,民生银行,7
2010-01-29,600016,民生银行,7
2010-02-01,600016,民生银行,7
2010-02-02,600016,民生银行,7
2010-02-03,600016,民生银行,6
2010-02-04,600016,民生银行,6
2010-02-05,600016,民生银行,6
2010-02-08,600016,民生银行,5
2010-02-09,600016,民生银行,5
2010-02-10,600016,民生银行,5
2010-02-11,600016,民生银行,5
2010-02-12,600016,民生银行,6
2010-02-22,600016,民生银行,2
2010-02-23,600016,民生银行,3
2010-02-24,600016,民生银行,3
2010-02-25,600016,民生银行,3
2010-02-26,600016,民生银行,3
2010-03-01,600016,民生银行,2
2010-03-02,600016,民生银行,2
2010-03-03,600016,民生银行,2
2010-03-04,600016,民生银行,2
2010-03-05,600016,民生银行,2
2010-03-08,600016,民生银行,2
2010-03-09,600016,民生银行,2
2010-03-10,600016,民生银行,2
2010-03-11,600016,民生银行,2
2010-03-12,600016,民生银行,2
2010-03-15,600016,民生银行,1
2010-03-16,600016,民生银行,1
2010-03-17,600016,民生银行,1
2010-03-18,600016,民生银行,1
2010-03-19,600016,民生银行,1
2010-03-22,600016,民生银行,1
2010-03-23,600016,民生银行,1
2010-03-24,600016,民生银行,2
2010-03-25,600016,民生银行,2
2010-03-26,600016,民生银行,2
2010-03-29,600016,民生银行,2
2010-03-30,600016,民生银行,2
2010-03-31,600016,民生银行,2
2010-04-01,600016,民生银行,2
2010-04-02,600016,民生银行,2
