stock_code,report_year,report_quarter,bas_eps
600016,2010,1001,0.19
600016,2010,1002,0.40
600016,2010,1004,0.66
600016,2010,1003,0.49
600016,2011,1002,0.52
600016,2011,1004,1.05
600016,2011,1001,0.23
600016,2011,1003,0.80
600016,2012,1004,1.34
600016,2012,1003,1.04
600016,2012,1001,0.34
600016,2012,1002,0.69
600016,2013,1004,1.49
600016,2013,1002,0.81
600016,2013,1001,0.39
600016,2013,1003,1.18
600016,2014,1001,0.45
600016,2014,1002,0.75
600016,2014,1003,1.08
600016,2014,1004,1.31
600016,2015,1004,1.30
600016,2015,1002,0.78
600016,2015,1001,0.39
600016,2015,1003,1.10
600016,2016,1001,0.38
600016,2016,1003,1.07
600016,2016,1004,1.31
600016,2016,1002,0.75
600016,2017,1001,0.39
600016,2017,1002,0.77
600016,2017,1003,1.10
600016,2017,1004,1.35
600016,2018,1001,0.41
600016,2018,1002,0.68
600016,2018,1003,0.97
600016,2018,1004,1.14
600016,2019,1001,0.36
600016,2019,1002,0.72
600016,2019,1003,1.04
600016,2019,1004,1.22
600016,2020,1001,0.38
600309,2010,1001,0.15
600309,2010,1003,0.58
600309,2010,1002,0.36
600309,2010,1004,0.92
600309,2011,1004,0.86
600309,2011,1003,0.71
600309,2011,1002,0.46
600309,2011,1001,0.29
600309,2012,1003,0.76
600309,2012,1002,0.45
600309,2012,1001,0.20
600309,2012,1004,1.09
600309,2013,1004,1.34
600309,2013,1002,0.71
600309,2013,1003,1.08
600309,2013,1001,0.34
600309,2014,1001,0.35
600309,2014,1004,1.12
600309,2014,1003,0.97
600309,2014,1002,0.65
600309,2015,1004,0.74
600309,2015,1001,0.22
600309,2015,1003,0.66
600309,2015,1002,0.47
600309,2016,1002,0.63
600309,2016,1001,0.21
600309,2016,1004,1.70
600309,2016,1003,1.16
600309,2017,1002,1.79
600309,2017,1001,0.96
600309,2017,1003,2.87
600309,2017,1004,4.09
600309,2018,1001,1.30
600309,2018,1002,2.54
600309,2018,1003,3.30
600309,2018,1004,3.88
600309,2019,1001,0.89
600309,2019,1002,1.79
600309,2019,1003,2.52
600309,2019,1004,3.23
