stock_code,stock_name,report_year,report_quarter,tse
600016,民生银行,2010,1001,93555000000.00
600016,民生银行,2010,1002,96894000000.00
600016,民生银行,2010,1003,101224000000.00
600016,民生银行,2010,1004,105257000000.00
600016,民生银行,2011,1001,111608000000.00
600016,民生银行,2011,1002,116809000000.00
600016,民生银行,2011,1003,124284000000.00
600016,民生银行,2011,1004,134110000000.00
600016,民生银行,2012,1001,143543000000.00
600016,民生银行,2012,1002,154712000000.00
600016,民生银行,2012,1003,159600000000.00
600016,民生银行,2012,1004,168544000000.00
600016,民生银行,2013,1001,183668000000.00
600016,民生银行,2013,1002,191207000000.00
600016,民生银行,2013,1003,196226000000.00
600016,民生银行,2013,1004,204287000000.00
600016,民生银行,2014,1001,217881000000.00
600016,民生银行,2014,1002,229299000000.00
600016,民生银行,2014,1003,240803000000.00
600016,民生银行,2014,1004,247756000000.00
600016,民生银行,2015,1001,261778000000.00
600016,民生银行,2015,1002,288313000000.00
600016,民生银行,2015,1003,300735000000.00
600016,民生银行,2015,1004,309783000000.00
600016,民生银行,2016,1001,319451000000.00
600016,民生银行,2016,1002,327655000000.00
600016,民生银行,2016,1003,335705000000.00
600016,民生银行,2016,1004,352027000000.00
600016,民生银行,2017,1001,366743000000.00
600016,民生银行,2017,1002,374522000000.00
600016,民生银行,2017,1003,381274000000.00
600016,民生银行,2017,1004,389812000000.00
600016,民生银行,2018,1001,395836000000.00
600016,民生银行,2018,1002,407844000000.00
600016,民生银行,2018,1003,422444000000.00
600016,民生银行,2018,1004,431001000000.00
600016,民生银行,2019,1001,448047000000.00
600016,民生银行,2019,1002,488672000000.00
600016,民生银行,2019,1003,503076000000.00
600016,民生银行,2019,1004,530829000000.00
600016,民生银行,2020,1001,548640000000.00
600309,万华化学,2010,1001,6146162889.09
600309,万华化学,2010,1002,5873219984.05
600309,万华化学,2010,1003,6307281768.37
600309,万华化学,2010,1004,7155219285.02
600309,万华化学,2011,1001,7744172832.07
600309,万华化学,2011,1002,7565927106.82
600309,万华化学,2011,1003,8241878796.39
600309,万华化学,2011,1004,8215624124.47
600309,万华化学,2012,1001,8735252341.55
600309,万华化学,2012,1002,8086854483.18
600309,万华化学,2012,1003,8925436127.71
600309,万华化学,2012,1004,9842810053.06
600309,万华化学,2013,1001,10590907568.44
600309,万华化学,2013,1002,9989687864.29
600309,万华化学,2013,1003,11043044163.00
600309,万华化学,2013,1004,11780955452.78
600309,万华化学,2014,1001,12708078583.43
600309,万华化学,2014,1002,11692366869.04
600309,万华化学,2014,1003,12783196319.54
600309,万华化学,2014,1004,13285675672.78
600309,万华化学,2015,1001,13856114247.16
600309,万华化学,2015,1002,13890592330.60
600309,万华化学,2015,1003,14473165820.08
600309,万华化学,2015,1004,14823234395.78
600309,万华化学,2016,1001,14933606894.37
600309,万华化学,2016,1002,15574027016.19
600309,万华化学,2016,1003,16796809546.37
600309,万华化学,2016,1004,18333937055.68
600309,万华化学,2017,1001,23380532948.11
600309,万华化学,2017,1002,24886251357.59
600309,万华化学,2017,1003,26687174094.33
600309,万华化学,2017,1004,30754126558.37
600309,万华化学,2018,1001,30778130184.91
600309,万华化学,2018,1002,34579356675.52
600309,万华化学,2018,1003,37289331915.82
600309,万华化学,2018,1004,39250411663.25
600309,万华化学,2019,1001,42554253910.89
600309,万华化学,2019,1002,39732275779.72
600309,万华化学,2019,1003,41972354217.45
600309,万华化学,2019,1004,43931258971.63
600309,万华化学,2020,1001,45374726156.85
600340,华夏幸福,2010,1001,267115742.44
600340,华夏幸福,2010,1002,273486327.50
600340,华夏幸福,2010,1003,274735200.81
600340,华夏幸福,2010,1004,274702427.43
600340,华夏幸福,2011,1001,273802319.87
600340,华夏幸福,2011,1002,274215729.30
600340,华夏幸福,2011,1003,3981381303.33
600340,华夏幸福,2011,1004,4008834734.33
600340,华夏幸福,2012,1001,3667474583.65
600340,华夏幸福,2012,1002,4321418680.83
600340,华夏幸福,2012,1003,4569219401.27
600340,华夏幸福,2012,1004,4958593773.91
600340,华夏幸福,2013,1001,4940636385.33
600340,华夏幸福,2013,1002,6024774290.93
600340,华夏幸福,2013,1003,6486700837.03
600340,华夏幸福,2013,1004,9955240336.79
600340,华夏幸福,2014,1001,10712553963.31
600340,华夏幸福,2014,1002,12946132754.73
600340,华夏幸福,2014,1003,16974642199.04
600340,华夏幸福,2014,1004,17396275759.59
600340,华夏幸福,2015,1001,18816473622.81
600340,华夏幸福,2015,1002,18561085266.33
600340,华夏幸福,2015,1003,19466145419.12
600340,华夏幸福,2015,1004,25630000117.28
600340,华夏幸福,2016,1001,31364494223.84
600340,华夏幸福,2016,1002,33415403457.43
600340,华夏幸福,2016,1003,35364697416.40
600340,华夏幸福,2016,1004,38031705326.80
600340,华夏幸福,2017,1001,44989663663.43
600340,华夏幸福,2017,1002,55615306322.98
600340,华夏幸福,2017,1003,61791509655.97
600340,华夏幸福,2017,1004,71032553334.96
600340,华夏幸福,2018,1001,70162639084.59
600340,华夏幸福,2018,1002,69304916478.58
600340,华夏幸福,2018,1003,61880641130.35
