stock_code,stock_name,report_year,report_quarter,tse
600016,民生银行,2010,1001,93555000000.00
600016,民生银行,2010,1001,93555000000.00
600016,民生银行,2010,1001,92450000000.00
600016,民生银行,2010,1001,92450000000.00
600016,民生银行,2010,1002,95578000000.00
600016,民生银行,2010,1002,95578000000.00
600016,民生银行,2010,1002,96894000000.00
600016,民生银行,2010,1002,96894000000.00
600016,民生银行,2010,1003,99602000000.00
600016,民生银行,2010,1003,101224000000.00
600016,民生银行,2010,1003,101224000000.00
600016,民生银行,2010,1003,99602000000.00
600016,民生银行,2010,1004,103559000000.00
600016,民生银行,2010,1004,105257000000.00
600016,民生银行,2010,1004,103559000000.00
600016,民生银行,2010,1004,105257000000.00
600016,民生银行,2011,1001,109666000000.00
600016,民生银行,2011,1001,111608000000.00
600016,民生银行,2011,1001,111608000000.00
600016,民生银行,2011,1001,109666000000.00
600016,民生银行,2011,1002,114265000000.00
600016,民生银行,2011,1002,116809000000.00
600016,民生银行,2011,1002,114265000000.00
600016,民生银行,2011,1002,116809000000.00
600016,民生银行,2011,1003,124284000000.00
600016,民生银行,2011,1003,121358000000.00
600016,民生银行,2011,1003,124284000000.00
600016,民生银行,2011,1003,121358000000.00
600016,民生银行,2011,1004,128501000000.00
600016,民生银行,2011,1004,134110000000.00
600016,民生银行,2011,1004,128501000000.00
600016,民生银行,2011,1004,134110000000.00
600016,民生银行,2012,1001,143543000000.00
600016,民生银行,2012,1001,137613000000.00
600016,民生银行,2012,1001,137613000000.00
600016,民生银行,2012,1001,143543000000.00
600016,民生银行,2012,1002,148323000000.00
600016,民生银行,2012,1002,148323000000.00
600016,民生银行,2012,1002,154712000000.00
600016,民生银行,2012,1002,154712000000.00
600016,民生银行,2012,1003,159600000000.00
600016,民生银行,2012,1003,152730000000.00
600016,民生银行,2012,1003,159600000000.00
600016,民生银行,2012,1003,152730000000.00
600016,民生银行,2012,1004,168544000000.00
600016,民生银行,2012,1004,161252000000.00
600016,民生银行,2012,1004,168544000000.00
600016,民生银行,2012,1004,161252000000.00
600016,民生银行,2013,1001,175832000000.00
600016,民生银行,2013,1001,183668000000.00
600016,民生银行,2013,1001,183668000000.00
600016,民生银行,2013,1001,175832000000.00
600016,民生银行,2013,1002,191207000000.00
600016,民生银行,2013,1002,182730000000.00
600016,民生银行,2013,1002,182730000000.00
600016,民生银行,2013,1002,191207000000.00
600016,民生银行,2013,1003,187201000000.00
600016,民生银行,2013,1003,196226000000.00
600016,民生银行,2013,1003,187201000000.00
600016,民生银行,2013,1003,196226000000.00
600016,民生银行,2013,1004,204287000000.00
600016,民生银行,2013,1004,194877000000.00
600016,民生银行,2013,1004,194877000000.00
600016,民生银行,2013,1004,204287000000.00
600016,民生银行,2014,1001,207977000000.00
600016,民生银行,2014,1001,217881000000.00
600016,民生银行,2014,1001,217881000000.00
600016,民生银行,2014,1001,207977000000.00
600016,民生银行,2014,1002,229299000000.00
600016,民生银行,2014,1002,218880000000.00
600016,民生银行,2014,1002,218880000000.00
600016,民生银行,2014,1002,229299000000.00
600016,民生银行,2014,1003,240803000000.00
600016,民生银行,2014,1003,230223000000.00
600016,民生银行,2014,1003,230223000000.00
600016,民生银行,2014,1003,240803000000.00
600016,民生银行,2014,1004,236330000000.00
600016,民生银行,2014,1004,236330000000.00
600016,民生银行,2014,1004,247756000000.00
600016,民生银行,2014,1004,247756000000.00
600016,民生银行,2015,1001,250231000000.00
600016,民生银行,2015,1001,261778000000.00
600016,民生银行,2015,1001,250231000000.00
600016,民生银行,2015,1001,261778000000.00
600016,民生银行,2015,1002,288313000000.00
600016,民生银行,2015,1002,276170000000.00
600016,民生银行,2015,1002,288313000000.00
600016,民生银行,2015,1002,276170000000.00
600016,民生银行,2015,1003,288274000000.00
600016,民生银行,2015,1003,300735000000.00
600016,民生银行,2015,1003,288274000000.00
600016,民生银行,2015,1003,300735000000.00
600016,民生银行,2015,1004,296577000000.00
600016,民生银行,2015,1004,309783000000.00
600016,民生银行,2015,1004,296577000000.00
600016,民生银行,2015,1004,309783000000.00
600016,民生银行,2016,1001,306098000000.00
600016,民生银行,2016,1001,306098000000.00
600016,民生银行,2016,1001,319451000000.00
600016,民生银行,2016,1001,319451000000.00
600016,民生银行,2016,1002,313695000000.00
600016,民生银行,2016,1002,327655000000.00
600016,民生银行,2016,1002,313695000000.00
600016,民生银行,2016,1002,327655000000.00
600016,民生银行,2016,1003,321263000000.00
600016,民生银行,2016,1003,335705000000.00
600016,民生银行,2016,1003,335705000000.00
600016,民生银行,2016,1003,321263000000.00
600016,民生银行,2016,1004,336820000000.00
600016,民生银行,2016,1004,336820000000.00
600016,民生银行,2016,1004,352027000000.00
600016,民生银行,2016,1004,352027000000.00
600016,民生银行,2017,1001,366743000000.00
600016,民生银行,2017,1001,366743000000.00
600016,民生银行,2017,1001,350850000000.00
600016,民生银行,2017,1001,350850000000.00
600016,民生银行,2017,1002,357956000000.00
600016,民生银行,2017,1002,374522000000.00
600016,民生银行,2017,1002,374522000000.00
600016,民生银行,2017,1002,357956000000.00
600016,民生银行,2017,1003,381274000000.00
600016,民生银行,2017,1003,364329000000.00
600016,民生银行,2017,1003,364329000000.00
600016,民生银行,2017,1003,381274000000.00
600016,民生银行,2017,1004,372190000000.00
600016,民生银行,2017,1004,372190000000.00
600016,民生银行,2017,1004,389812000000.00
600016,民生银行,2017,1004,389812000000.00
600016,民生银行,2018,1001,395836000000.00
600016,民生银行,2018,1001,395836000000.00
600016,民生银行,2018,1001,378258000000.00
600016,民生银行,2018,1001,378258000000.00
600016,民生银行,2018,1002,407844000000.00
600016,民生银行,2018,1002,407844000000.00
600016,民生银行,2018,1002,390305000000.00
600016,民生银行,2018,1002,390305000000.00
600016,民生银行,2018,1003,404123000000.00
600016,民生银行,2018,1003,404123000000.00
600016,民生银行,2018,1003,422444000000.00
600016,民生银行,2018,1003,422444000000.00
600016,民生银行,2018,1004,413101000000.00
600016,民生银行,2018,1004,431001000000.00
600016,民生银行,2018,1004,431001000000.00
600016,民生银行,2018,1004,413101000000.00
600016,民生银行,2019,1001,448047000000.00
600016,民生银行,2019,1001,429639000000.00
