stock_code,con_date,con_eps_roll
600016,2010-01-04,0.608
600016,2010-01-05,0.6094
600016,2010-01-06,0.6106
600016,2010-01-07,0.6107
600016,2010-01-08,0.6137
600016,2010-01-11,0.6007
600016,2010-01-12,0.6011
600016,2010-01-13,0.6041
600016,2010-01-14,0.6036
600016,2010-01-15,0.5965
600016,2010-01-18,0.5995
600016,2010-01-19,0.6003
600016,2010-01-20,0.5983
600016,2010-01-21,0.599
600016,2010-01-22,0.5946
600016,2010-01-25,0.5893
600016,2010-01-26,0.5888
600016,2010-01-27,0.5888
600016,2010-01-28,0.5884
600016,2010-01-29,0.5933
600016,2010-02-01,0.6002
600016,2010-02-02,0.6118
600016,2010-02-03,0.6122
600016,2010-02-04,0.6103
600016,2010-02-05,0.6106
600016,2010-02-08,0.6119
600016,2010-02-09,0.6092
600016,2010-02-10,0.61
600016,2010-02-11,0.6138
600016,2010-02-12,0.6139
600016,2010-02-22,0.6246
600016,2010-02-23,0.619
600016,2010-02-24,0.6177
600016,2010-02-25,0.6171
600016,2010-02-26,0.6174
600016,2010-03-01,0.6164
600016,2010-03-02,0.6161
600016,2010-03-03,0.6142
600016,2010-03-04,0.6145
600016,2010-03-05,0.6144
600016,2010-03-08,0.6162
600016,2010-03-09,0.6165
600016,2010-03-10,0.6092
600016,2010-03-11,0.6095
600016,2010-03-12,0.6098
600016,2010-03-15,0.6057
600016,2010-03-16,0.6061
600016,2010-03-17,0.6024
600016,2010-03-18,0.6027
600016,2010-03-19,0.6024
600016,2010-03-22,0.6132
600016,2010-03-23,0.6135
600016,2010-03-24,0.6139
600016,2010-03-25,0.6168
600016,2010-03-26,0.6224
600016,2010-03-29,0.6253
600016,2010-03-30,0.6257
600016,2010-03-31,0.626
600016,2010-04-01,0.6237
600016,2010-04-02,0.6332
600016,2010-04-06,0.6318
600016,2010-04-07,0.632
600016,2010-04-08,0.6324
600016,2010-04-09,0.6299
600016,2010-04-12,0.6416
600016,2010-04-13,0.6396
600016,2010-04-14,0.6447
600016,2010-04-15,0.6467
600016,2010-04-16,0.65
600016,2010-04-19,0.6593
600016,2010-04-20,0.6752
600016,2010-04-21,0.6778
600016,2010-04-22,0.6782
600016,2010-04-23,0.6786
600016,2010-04-26,0.6797
600016,2010-04-27,0.68
600016,2010-04-28,0.6804
600016,2010-04-29,0.6808
600016,2010-04-30,0.6952
600016,2010-05-04,0.7053
600016,2010-05-05,0.694
600016,2010-05-06,0.6944
600016,2010-05-07,0.6942
600016,2010-05-10,0.696
600016,2010-05-11,0.6924
600016,2010-05-12,0.6928
600016,2010-05-13,0.6932
600016,2010-05-14,0.6936
600016,2010-05-17,0.7025
600016,2010-05-18,0.7
600016,2010-05-19,0.7004
600016,2010-05-20,0.7008
600016,2010-05-21,0.7026
600016,2010-05-24,0.6995
600016,2010-05-25,0.6999
600016,2010-05-26,0.7003
600016,2010-05-27,0.6983
600016,2010-05-28,0.6975
600016,2010-05-31,0.6992
600016,2010-06-01,0.6996
600016,2010-06-02,0.7
600016,2010-06-03,0.7027
600016,2010-06-04,0.7058
600016,2010-06-07,0.693
600016,2010-06-08,0.6938
600016,2010-06-09,0.6868
600016,2010-06-10,0.6851
600016,2010-06-11,0.6954
600016,2010-06-17,0.6944
600016,2010-06-18,0.7049
600016,2010-06-21,0.7189
600016,2010-06-22,0.717
600016,2010-06-23,0.7174
600016,2010-06-24,0.7191
600016,2010-06-25,0.6993
600016,2010-06-28,0.7004
600016,2010-06-29,0.7011
600016,2010-06-30,0.7008
600016,2010-07-01,0.7006
600016,2010-07-02,0.6953
600016,2010-07-05,0.6928
600016,2010-07-06,0.6976
600016,2010-07-07,0.6979
600016,2010-07-08,0.7069
600016,2010-07-09,0.7072
600016,2010-07-12,0.7112
600016,2010-07-13,0.7115
600016,2010-07-14,0.7118
600016,2010-07-15,0.5934
600016,2010-07-16,0.5923
600016,2010-07-19,0.5896
600016,2010-07-20,0.5899
600016,2010-07-21,0.5901
600016,2010-07-22,0.5871
600016,2010-07-23,0.5878
600016,2010-07-26,0.5915
600016,2010-07-27,0.5941
600016,2010-07-28,0.5862
600016,2010-07-29,0.5973
600016,2010-07-30,0.5959
600016,2010-08-02,0.5948
600016,2010-08-03,0.5964
600016,2010-08-04,0.6117
600016,2010-08-05,0.6129
600016,2010-08-06,0.6182
600016,2010-08-09,0.621
600016,2010-08-10,0.6514
600016,2010-08-11,0.6727
600016,2010-08-12,0.673
600016,2010-08-13,0.6722
600016,2010-08-16,0.6738
600016,2010-08-17,0.6733
600016,2010-08-18,0.6758
600016,2010-08-19,0.6762
600016,2010-08-20,0.6768
600016,2010-08-23,0.6748
600016,2010-08-24,0.6768
600016,2010-08-25,0.6772
600016,2010-08-26,0.6776
600016,2010-08-27,0.678
600016,2010-08-30,0.679
600016,2010-08-31,0.6809
600016,2010-09-01,0.6803
600016,2010-09-02,0.6807
600016,2010-09-03,0.681
600016,2010-09-06,0.6902
600016,2010-09-07,0.6903
600016,2010-09-08,0.6906
600016,2010-09-09,0.692
600016,2010-09-10,0.7068
600016,2010-09-13,0.7173
600016,2010-09-14,0.7005
600016,2010-09-15,0.704
